time_step,population,avg_sugar,avg_age,total_born,total_died
1,100,13.90587137428174,1.0,100,0
2,100,13.593885088172549,2.0,100,0
3,96,14.15156900309598,3.0,100,4
4,93,14.732706332755598,4.0,100,7
5,90,15.366422896012134,5.0,100,10
6,84,16.727993099108975,6.0,100,16
7,81,17.801589083182286,7.0,100,19
8,79,18.79736448613403,8.0,100,21
9,77,19.952263920002927,9.0,100,23
10,77,20.604528929106802,10.0,100,23
11,77,21.26731343964951,11.0,100,23
12,75,22.541330616708937,12.0,100,25
13,73,23.898353753027088,13.0,100,27
14,72,25.030710564372857,14.0,100,28
15,70,26.556752101968545,15.0,100,30
16,68,28.229701207110384,16.0,100,32
17,65,30.538754097779194,17.0,100,35
18,64,32.05568836214293,18.0,100,36
19,64,33.14149745778737,19.0,100,36
20,63,34.76898630983944,20.0,100,37
21,62,36.44652832876501,21.0,100,38
22,62,37.59594423033814,22.0,100,38
23,62,38.72955412081942,23.0,100,38
24,62,39.847833777457375,24.0,100,38
25,61,41.64038200150334,25.0,100,39
26,61,42.83560469849489,26.0,100,39
27,61,44.06552739905036,27.0,100,39
28,61,45.264499278935716,28.0,100,39
29,61,46.43704993003111,29.0,100,39
30,61,47.62665122816049,30.0,100,39
31,61,48.815448583546626,31.0,100,39
32,61,50.00029135095049,32.0,100,39
33,61,51.20220126929436,33.0,100,39
34,61,52.418606170865495,34.0,100,39
35,61,53.65602511281197,35.0,100,39
36,61,54.8239317424117,36.0,100,39
37,61,56.00295982401414,37.0,100,39
38,61,57.17619341707358,38.0,100,39
39,61,58.40518261051563,39.0,100,39
40,61,59.642919222665505,40.0,100,39
41,61,60.85031141397615,41.0,100,39
42,61,62.08366789400844,42.0,100,39
43,61,63.223253105994196,43.0,100,39
44,61,64.41360607994322,44.0,100,39
45,61,65.56417559376801,45.0,100,39
46,61,66.74709156600025,46.0,100,39
47,61,67.98368456456919,47.0,100,39
48,61,69.18952378069122,48.0,100,39
49,61,70.35586237082654,49.0,100,39
50,61,71.51959926048669,50.0,100,39
51,61,72.73638612418787,51.0,100,39
52,61,73.94354867119384,52.0,100,39
53,61,75.15713756864027,53.0,100,39
54,61,76.3482844255325,54.0,100,39
55,61,77.58593212132388,55.0,100,39
56,61,78.77723613289459,56.0,100,39
57,61,79.97918458703346,57.0,100,39
58,61,81.23232502770028,58.0,100,39
59,61,82.43942319896381,59.0,100,39
60,60,83.64022614369381,60.0,100,40
61,55,87.27289706417181,61.0,100,45
62,53,88.75858930002582,62.0,100,47
63,50,92.26092422794845,63.0,100,50
64,50,93.62786610825857,64.0,100,50
65,48,92.40754639342242,65.0,100,52
66,47,92.60632079801861,66.0,100,53
67,44,94.4087718812395,67.0,100,56
68,40,93.95261605747166,68.0,100,60
69,38,92.9415953206118,69.0,100,62
70,38,94.2745294967602,70.0,100,62
71,36,94.09906905499966,71.0,100,64
72,36,95.49424196795923,72.0,100,64
73,35,95.56055535940683,73.0,100,65
74,34,97.03569812782533,74.0,100,66
75,34,98.42808865613834,75.0,100,66
76,34,99.85025406697139,76.0,100,66
77,32,101.48988521850458,77.0,100,68
78,30,106.17422359286974,78.0,100,70
79,30,107.61477991955555,79.0,100,70
80,29,108.92254901293626,80.0,100,71
81,27,105.92224520334304,81.0,100,73
82,26,111.50072174234256,82.0,100,74
83,24,116.11442508271062,83.0,100,76
84,23,118.07673001226021,84.0,100,77
85,22,120.92216233797643,85.0,100,78
86,20,119.15104103482606,86.0,100,80
87,19,121.36822801737935,87.0,100,81
88,19,122.97616443117388,88.0,100,81
89,14,118.22623479125193,89.0,100,86
90,12,137.2140046363344,90.0,100,88
91,12,138.908184798713,91.0,100,88
92,11,142.3404840098322,92.0,100,89
93,11,144.3187842769824,93.0,100,89
94,6,184.90966288369555,94.0,100,94
95,6,187.36877045828172,95.0,100,94
96,6,189.81376107361928,96.0,100,94
97,5,191.2794065192487,97.0,100,95
98,3,214.90006516016638,98.0,100,97
99,1,218.13828806472253,99.0,100,99
100,0,0,0,100,100
