time_step,agent_id,x,y,sugar,vision,metabolism,age,max_age
0,100,10,11,14.552786404500042,6,1,1,88
0,101,34,38,21.367544467966326,4,2,1,62
0,102,26,21,14.671336604581352,1,3,1,76
0,103,14,24,2.566894987880712,5,4,1,86
0,104,4,16,23.211145618000167,2,3,1,85
0,105,19,7,21.279534946591475,5,2,1,85
0,106,43,27,18.66761924206188,5,3,1,76
0,107,48,47,6.026786250536299,3,1,1,81
0,108,49,14,7.0,1,4,1,76
0,109,42,34,16.83380962103094,4,4,1,73
0,110,4,0,15.115558979628808,4,3,1,81
0,111,37,21,22.8,4,2,1,60
0,112,9,5,18.476845378827218,6,4,1,78
0,113,24,40,11.331667187174734,4,1,1,89
0,114,3,34,18.0,2,1,1,89
0,115,22,14,17.960392194562885,3,2,1,95
0,116,14,18,19.735088935932648,1,2,1,76
0,117,31,31,19.302943725152286,2,3,1,92
0,118,26,39,18.76393202250021,6,1,1,72
0,119,43,45,21.0,5,3,1,65
0,120,42,45,15.11320377358868,5,3,1,60
0,121,29,11,16.59412272681472,4,3,1,60
0,122,18,5,7.156091108541423,1,1,1,80
0,123,48,32,19.583390805281084,4,2,1,81
0,124,18,2,11.66761924206188,3,4,1,89
0,125,37,38,19.8,6,2,1,84
0,126,31,42,14.437950064818668,1,1,1,83
0,127,9,9,11.151471862576143,5,4,1,75
0,128,17,10,12.922967038573098,2,4,1,73
0,129,4,17,23.11320377358868,5,3,1,93
0,130,3,2,22.309275190585257,2,3,1,98
0,131,20,37,20.6,5,4,1,91
0,132,37,19,11.4,6,1,1,75
0,133,38,34,22.367544467966326,4,4,1,64
0,134,0,4,21.11555897962881,4,3,1,83
0,135,20,6,24.0,3,2,1,95
0,136,42,48,18.583390805281084,4,3,1,99
0,137,17,11,19.980196097281443,6,2,1,84
0,138,14,13,19.552786404500043,4,4,1,78
0,139,27,12,16.0,6,4,1,89
0,140,27,32,15.76393202250021,1,3,1,67
0,141,32,38,11.980196097281443,6,4,1,92
0,142,37,37,24.0,3,4,1,60
0,143,9,8,14.0,4,1,1,79
0,144,44,33,11.38754845034029,5,2,1,92
0,145,9,4,9.291199250936494,5,3,1,74
0,146,33,28,5.03022843964078,5,3,1,61
0,147,6,4,25.0,3,2,1,86
0,148,37,32,11.0,6,2,1,86
0,149,41,6,15.0,3,3,1,64
0,150,21,18,12.836669234721604,3,4,1,85
0,151,17,17,24.585786437626904,1,2,1,85
0,152,36,29,24.38754845034029,5,3,1,90
0,153,25,8,12.27970589825291,1,3,1,96
0,154,31,41,13.557779489814404,5,2,1,69
0,155,48,41,11.659060017856074,6,2,1,90
0,156,48,11,21.0,1,4,1,77
0,157,7,13,6.980196097281443,3,2,1,94
0,158,11,40,14.0,1,1,1,78
0,159,14,2,11.960392194562885,4,1,1,62
0,160,8,30,9.312182217082846,2,3,1,71
0,161,43,41,4.557779489814404,2,3,1,91
0,162,16,25,10.27970589825291,4,1,1,97
0,163,33,37,23.2,6,3,1,91
0,164,38,49,20.59168108424154,1,2,1,83
0,165,36,34,23.367544467966326,3,3,1,97
0,166,16,47,14.0,1,3,1,90
0,167,17,4,7.11320377358868,5,3,1,62
0,168,7,21,15.9408739718026,5,1,1,95
0,169,33,15,17.0,1,3,1,85
0,170,19,24,7.22151120211004,4,4,1,89
0,171,48,37,8.8,1,1,1,73
0,172,17,2,5.76393202250021,6,2,1,100
0,173,8,20,7.2111456180001685,2,1,1,91
0,174,5,44,10.0,4,4,1,87
0,175,13,9,20.367544467966326,5,3,1,66
0,176,6,10,20.735088935932648,1,2,1,72
0,177,8,23,19.659060017856074,3,1,1,80
0,178,13,46,14.0,1,1,1,84
0,179,35,48,21.76393202250021,4,4,1,98
0,180,12,13,19.8,3,2,1,72
0,181,31,10,21.17900536509144,1,1,1,86
0,182,37,39,19.6,1,2,1,80
0,183,16,20,18.211145618000167,6,4,1,90
0,184,12,34,8.0,1,2,1,86
0,185,30,25,7.22151120211004,5,1,1,65
0,186,2,19,14.55868887685326,4,1,1,86
0,187,47,28,7.309275190585257,5,3,1,87
0,188,39,30,14.543978022143897,6,2,1,73
0,189,24,17,11.4,3,3,1,65
0,190,44,43,6.156091108541423,4,1,1,62
0,191,22,38,21.993340724325417,5,2,1,75
0,192,7,24,22.4,6,2,1,72
0,193,41,42,24.71937515251343,3,1,1,69
0,194,31,36,21.783447493940358,3,3,1,65
0,195,12,9,12.4,6,3,1,63
0,196,16,18,19.557779489814404,5,1,1,69
0,197,28,30,24.719649149801725,4,1,1,86
0,198,28,31,2.8366692347216063,1,4,1,60
0,199,28,47,8.309275190585257,6,4,1,81
10,100,13,12,34.82336317278277,6,1,11,88
10,101,33,34,32.50611731009327,4,2,11,62
10,104,6,13,20.645741869309248,2,3,11,85
10,105,12,12,31.871131135266097,5,2,11,85
10,106,38,34,18.412136240945138,5,3,11,76
10,107,42,40,22.00700092041531,3,1,11,81
10,109,39,34,6.96184657509869,4,4,11,73
10,110,12,6,12.284772285816942,4,3,11,81
10,111,38,30,29.37157287525381,4,2,11,60
10,112,19,11,8.718167281247833,6,4,11,78
10,113,38,42,30.233587792993173,4,1,11,89
10,114,3,36,8.0,2,1,11,89
10,115,10,14,28.306227000187086,3,2,11,95
10,116,17,17,27.21630926865489,1,2,11,76
10,117,36,32,17.459367481316765,2,3,11,92
10,118,41,38,39.02437677197861,6,1,11,72
10,119,41,34,20.564369938617908,5,3,11,65
10,120,37,37,15.327209491901062,5,3,11,60
10,121,15,8,14.155560834387622,4,3,11,60
10,122,17,6,22.995206467957185,1,1,11,80
10,123,44,38,28.39282004192337,4,2,11,81
10,125,41,37,30.93298250178149,6,2,11,84
10,126,33,40,31.270498387604974,1,1,11,83
10,127,12,10,2.622179466397011,5,4,11,75
10,128,18,11,2.7333746799313534,2,4,11,73
10,129,7,11,22.00534930121946,5,3,11,93
10,130,9,9,16.861137120171023,2,3,11,98
10,131,39,31,8.021699565727548,5,4,11,91
10,132,34,39,31.878889744907205,6,1,11,75
10,133,36,34,13.260111671541722,4,4,11,64
10,134,9,12,18.110023174952723,4,3,11,83
10,135,15,7,32.91540038295681,3,2,11,95
10,136,42,41,16.681664310120148,4,3,11,99
10,137,13,9,31.29289546321958,6,2,11,84
10,138,16,15,11.4324235464527,4,4,11,78
10,139,11,15,5.947740565247763,6,4,11,89
10,140,32,33,10.141547514215377,1,3,11,67
10,141,35,33,3.0492897099219904,6,4,11,92
10,142,41,41,15.084996605914032,3,4,11,60
10,143,13,7,34.850806451982585,4,1,11,79
10,144,37,43,21.513455373247954,5,2,11,92
10,145,9,8,9.217379421523944,5,3,11,74
10,146,36,39,5.379809273618857,5,3,11,61
10,147,8,8,33.879865001142235,3,2,11,86
10,148,37,35,21.894227333036806,6,2,11,86
10,151,17,13,32.06098830616415,1,2,11,85
10,152,39,33,24.08790438471719,5,3,11,90
10,153,16,9,4.1609550154295505,1,3,11,96
10,154,38,38,23.36130496892539,5,2,11,69
10,155,36,41,21.552637129471112,6,2,11,90
10,157,14,15,16.995836924405427,3,2,11,94
10,158,8,37,4.0,1,1,11,78
10,159,11,8,32.23536851454638,4,1,11,62
10,160,7,15,0.19429117897537784,2,3,11,71
10,161,40,42,3.7453915612365307,2,3,11,91
10,162,15,10,28.593241512907333,4,1,11,97
10,163,35,34,26.105520055062172,6,3,11,91
10,164,35,42,25.62150224671452,1,2,11,83
10,165,31,38,23.21193988068591,3,3,11,97
10,167,16,10,7.387400715375399,5,3,11,62
10,168,17,12,36.17139906863185,5,1,11,95
10,171,42,37,24.76801653155799,1,1,11,73
10,172,14,13,16.899445878328173,6,2,11,100
10,173,11,18,25.21246257291032,2,1,11,91
10,175,17,16,21.951817473252902,5,3,11,66
10,176,11,11,30.919203755663744,1,2,11,72
10,177,13,13,37.032220583384884,3,1,11,80
10,178,16,49,4.0,1,1,11,84
10,179,34,36,11.416446334987679,4,4,11,98
10,180,6,15,31.85835921350013,3,2,11,72
10,181,21,10,23.87024436785386,1,1,11,86
10,182,36,36,27.152786404500045,1,2,11,80
10,183,9,16,9.195608171907452,6,4,11,90
10,185,34,33,25.722535956344554,5,1,11,65
10,186,8,14,32.84601933479118,4,1,11,86
10,187,32,35,5.627580289407035,5,3,11,87
10,188,36,33,25.691739360178254,6,2,11,73
10,189,8,15,9.980178125618535,3,3,11,65
10,190,39,36,25.827779522795787,4,1,11,62
10,191,31,40,30.36809565038451,5,2,11,75
10,192,11,17,31.15477842958483,6,2,11,72
10,193,41,40,45.33656073483038,3,1,11,69
10,194,33,39,22.877842699359295,3,3,11,65
10,195,10,13,13.547013940988908,6,3,11,63
10,196,14,14,40.55588846121634,5,1,11,69
10,197,33,37,44.38259106615221,4,1,11,86
20,100,16,16,54.691992322884296,6,1,21,88
20,101,32,35,42.852237867586524,4,2,21,62
20,104,10,15,19.89833503401249,2,3,21,85
20,105,16,15,41.8711311352661,5,2,21,85
20,106,36,34,18.349394541148182,5,3,21,76
20,107,43,38,41.79159239975544,3,1,21,81
20,110,16,9,11.971333084325732,4,3,21,81
20,111,38,34,37.70678934172942,4,2,21,60
20,113,38,39,50.23358779299318,4,1,21,89
20,115,7,12,38.480097739862494,3,2,21,95
20,116,12,16,34.256391035301824,1,2,21,76
20,117,41,34,17.730075085137628,2,3,21,92
20,118,40,31,31.17689564337313,6,1,21,72
20,119,41,32,19.75011588476401,5,3,21,65
20,120,37,36,15.807453325805529,5,3,21,60
20,121,10,12,13.555560834387624,4,3,21,60
20,122,17,8,39.86128772363105,1,1,21,80
20,123,41,40,37.53706552049631,4,2,21,81
20,125,35,34,42.33298250178149,6,2,21,84
20,126,33,40,48.46163578810976,1,1,21,83
20,129,9,15,21.576131679135884,5,3,21,93
20,130,14,7,16.19675414340658,2,3,21,98
20,132,37,34,52.645681867719624,6,1,21,75
20,133,34,31,1.810128636517823,4,4,21,64
20,134,8,16,17.901619363627344,4,3,21,83
20,135,12,8,42.14035134534328,3,2,21,95
20,136,39,41,17.06058088904783,4,3,21,99
20,137,13,12,41.9615246133211,6,2,21,84
20,138,14,16,1.711313291359902,4,4,21,78
20,140,30,37,7.483708650757363,1,3,21,67
20,142,35,41,4.333527954107925,3,4,21,60
20,143,8,10,53.64240264065721,4,1,21,79
20,144,36,42,30.626193618714787,5,2,21,92
20,145,11,7,8.750361923305428,5,3,21,74
20,146,35,37,6.214123848669621,5,3,21,61
20,147,17,14,41.52220719222876,3,2,21,86
20,148,35,38,31.859704913925327,6,2,21,86
20,151,15,11,37.06098830616415,1,2,21,85
20,152,44,36,22.711942894131287,5,3,21,90
20,153,17,10,1.9679893084434523,1,3,21,96
20,154,35,40,33.37745301403564,5,2,21,69
20,155,38,42,31.455800265325657,6,2,21,90
20,157,14,17,26.442299088854533,3,2,21,94
20,159,16,14,52.103997664647906,4,1,21,62
20,161,43,35,0.30104407624940066,2,3,21,91
20,162,9,10,47.51620855148043,4,1,21,97
20,163,39,34,26.358611759070982,6,3,21,91
20,164,34,41,32.07828852384669,1,2,21,83
20,165,33,38,23.172332075248796,3,3,21,97
20,167,14,9,7.016782286461952,5,3,21,62
20,168,14,14,56.79507119939893,5,1,21,95
20,171,41,38,42.846558542288996,1,1,21,73
20,172,13,10,26.899445878328173,6,2,21,100
20,173,9,18,42.92314819204487,2,1,21,91
20,175,14,12,21.874784511826,5,3,21,66
20,176,12,14,33.919203755663744,1,2,21,72
20,177,8,15,55.032220583384884,3,1,21,80
20,178,16,7,15.65404279919428,1,1,21,84
20,179,38,32,0.32213601243092604,4,4,21,98
20,180,9,8,40.65991438710836,3,2,21,72
20,181,19,14,41.007818219592004,1,1,21,86
20,182,34,34,33.43167614940725,1,2,21,80
20,185,32,39,45.84735977839796,5,1,21,65
20,186,9,13,52.429466828731535,4,1,21,86
20,187,38,40,5.995124757373359,5,3,21,87
20,188,35,33,36.11315491477982,6,2,21,73
20,189,13,18,9.150791199533419,3,3,21,65
20,190,38,36,44.80797562007723,4,1,21,62
20,191,33,39,40.7288936350171,5,2,21,75
20,192,11,13,40.7453647102198,6,2,21,72
20,193,42,39,63.83386182131339,3,1,21,69
20,194,33,36,21.83666906817612,3,3,21,65
20,195,10,11,13.314853259377557,6,3,21,63
20,196,12,12,31.0,5,1,21,69
20,197,39,35,63.3825910661522,4,1,21,86
20,200,35,36,31.980196097281443,6,1,3,70
20,201,18,10,30.735088935932648,4,1,1,61
30,100,15,6,73.53653341597419,6,1,31,88
30,101,35,38,27.532982501781486,4,2,31,62
30,104,12,11,18.69833503401249,2,3,31,85
30,105,12,14,51.86939603268673,5,2,31,85
30,106,38,42,18.135916910138707,5,3,31,76
30,107,36,36,31.0,3,1,31,81
30,110,9,10,11.21628139112622,4,3,31,81
30,111,37,32,47.62975638030252,4,2,31,60
30,113,38,35,37.9229670385731,4,1,31,89
30,115,13,15,48.84764220782882,3,2,31,95
30,116,12,16,41.3750549957178,1,2,31,76
30,117,43,38,14.920254865123361,2,3,31,92
30,118,42,40,51.410705264404065,6,1,31,72
30,119,35,34,20.02900562967121,5,3,31,65
30,120,39,40,16.407453325805527,5,3,31,60
30,121,9,13,12.470845867601717,4,3,31,60
30,122,14,7,56.13509423132304,1,1,31,80
30,123,36,37,47.195969235089635,4,2,31,81
30,125,39,39,52.605046753355325,6,2,31,84
30,126,33,40,65.52432197574,1,1,31,83
30,129,14,16,21.585320175043293,5,3,31,93
30,130,12,9,15.719873583530813,2,3,31,98
30,132,41,35,72.64568186771962,6,1,31,75
30,134,16,14,18.707497472136197,4,3,31,83
30,135,10,8,52.52799682598727,3,2,31,95
30,136,35,39,17.26058088904783,4,3,31,99
30,137,13,9,53.197698231388955,6,2,31,84
30,140,31,36,6.610995833200958,1,3,31,67
30,143,11,11,43.868629150101526,4,1,31,79
30,144,41,39,41.549160657287885,5,2,31,92
30,145,14,15,8.653525059159971,5,3,31,74
30,146,37,38,6.14921278460227,5,3,31,61
30,147,12,13,51.44073013539295,3,2,31,86
30,148,38,41,41.67371063223771,6,2,31,86
30,151,14,8,43.06098830616415,1,2,31,85
30,152,36,38,22.49539038807164,5,3,31,90
30,154,38,37,43.74499748200196,5,2,31,69
30,155,38,33,41.19305856552871,6,2,31,90
30,157,12,19,35.046533695550075,3,2,31,94
30,159,17,8,72.07427651826367,4,1,31,62
30,162,15,17,67.45559098151145,4,1,31,97
30,163,37,33,25.89370069500363,6,3,31,91
30,164,32,41,40.78169810642787,1,2,31,83
30,165,33,33,22.808505693316643,3,3,31,97
30,167,10,14,7.56636312044003,5,3,31,62
30,168,17,14,38.9229670385731,5,1,31,95
30,171,42,41,57.87606631335005,1,1,31,73
30,172,16,13,37.62587605512532,6,2,31,100
30,173,8,12,62.51373447267984,2,1,31,91
30,175,11,7,21.365951950295493,5,3,31,66
30,176,15,11,38.919203755663744,1,2,31,72
30,177,9,14,38.0,3,1,31,80
30,178,12,7,33.57818113605428,1,1,31,84
30,180,13,11,25.0,3,2,31,72
30,181,13,18,58.52860200768798,1,1,31,86
30,182,37,31,41.73354885228082,1,2,31,80
30,185,43,39,36.51853642987301,5,1,31,65
30,186,7,11,35.0,4,1,31,86
30,187,34,41,5.995124757373359,5,3,31,87
30,188,38,40,45.56897309222316,6,2,31,73
30,189,16,11,8.714434790755218,3,3,31,65
30,190,33,38,32.0,4,1,31,62
30,191,35,37,51.04743006489011,5,2,31,75
30,192,10,12,25.0,6,2,31,72
30,193,42,35,83.50066854838975,3,1,31,69
30,194,34,33,21.816865165457564,3,3,31,65
30,195,16,9,13.8676396638776,6,3,31,63
30,196,14,10,52.8,5,1,31,69
30,197,37,30,81.91457251506822,4,1,31,86
30,200,34,40,51.90316313585454,6,1,13,70
30,201,18,12,49.48777036144027,4,1,11,61
30,202,8,13,44.028539847573185,5,1,7,74
30,203,34,38,32.6,6,2,5,69
30,204,37,36,37.81400571831238,4,1,4,85
30,205,38,34,32.0,4,1,2,87
30,206,32,36,24.814005718312384,4,3,2,66
